date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:33:52	31738/31738	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Dec%202018%2014:39:04%20GMT	https://colorlib.com/preview/theme/karma/index.html	C:/My%20Web%20Sites/ClientWork/Braun%20Fit/colorlib.com/preview/theme/karma/index.html	(from )
01:33:52	84/84	---MCZ	200	added ('OK')	text/plain	etag:W/%22526e4e2b-5e%22	https://colorlib.com/robots.txt		(from )
01:33:52	1538/1538	---M--	200	added ('OK')	image/png	etag:%225c0bd7d5-a06%22	https://colorlib.com/preview/theme/karma/img/fav.png	C:/My%20Web%20Sites/ClientWork/Braun%20Fit/colorlib.com/preview/theme/karma/img/fav.png	(from https://colorlib.com/preview/theme/karma/index.html)
01:33:52	7046/7046	---MCZ	200	added ('OK')	text/css	etag:W/%225c0bd79b-20aa%22	https://colorlib.com/preview/theme/karma/css/linearicons.css	C:/My%20Web%20Sites/ClientWork/Braun%20Fit/colorlib.com/preview/theme/karma/css/linearicons.css	(from https://colorlib.com/preview/theme/karma/index.html)
01:33:53	31004/31004	---MCZ	200	added ('OK')	text/css	etag:W/%225c0bd796-791c%22	https://colorlib.com/preview/theme/karma/css/font-awesome.min.css	C:/My%20Web%20Sites/ClientWork/Braun%20Fit/colorlib.com/preview/theme/karma/css/font-awesome.min.css	(from https://colorlib.com/preview/theme/karma/index.html)
01:33:53	13862/13862	---MCZ	200	added ('OK')	text/css	etag:W/%225c0bd7a7-4042%22	https://colorlib.com/preview/theme/karma/css/themify-icons.css	C:/My%20Web%20Sites/ClientWork/Braun%20Fit/colorlib.com/preview/theme/karma/css/themify-icons.css	(from https://colorlib.com/preview/theme/karma/index.html)
01:33:53	141133/141133	---MCZ	200	added ('OK')	text/css	etag:W/%225c0bd795-2ccb9%22	https://colorlib.com/preview/theme/karma/css/bootstrap.css	C:/My%20Web%20Sites/ClientWork/Braun%20Fit/colorlib.com/preview/theme/karma/css/bootstrap.css	(from https://colorlib.com/preview/theme/karma/index.html)
01:33:53	2912/2912	---MCZ	200	added ('OK')	text/css	etag:W/%225c0bd7a6-10bd%22	https://colorlib.com/preview/theme/karma/css/owl.carousel.css	C:/My%20Web%20Sites/ClientWork/Braun%20Fit/colorlib.com/preview/theme/karma/css/owl.carousel.css	(from https://colorlib.com/preview/theme/karma/index.html)
01:33:53	3076/3076	---MCZ	200	added ('OK')	text/css	etag:W/%225c0bd7a5-fa7%22	https://colorlib.com/preview/theme/karma/css/nice-select.css	C:/My%20Web%20Sites/ClientWork/Braun%20Fit/colorlib.com/preview/theme/karma/css/nice-select.css	(from https://colorlib.com/preview/theme/karma/index.html)
01:33:54	3555/3555	---MCZ	200	added ('OK')	text/css	etag:W/%225c0bd7a5-de3%22	https://colorlib.com/preview/theme/karma/css/nouislider.min.css	C:/My%20Web%20Sites/ClientWork/Braun%20Fit/colorlib.com/preview/theme/karma/css/nouislider.min.css	(from https://colorlib.com/preview/theme/karma/index.html)
01:33:54	1941/1941	---MCZ	200	added ('OK')	text/css	etag:W/%225c0bd798-d1b%22	https://colorlib.com/preview/theme/karma/css/ion.rangeSlider.css	C:/My%20Web%20Sites/ClientWork/Braun%20Fit/colorlib.com/preview/theme/karma/css/ion.rangeSlider.css	(from https://colorlib.com/preview/theme/karma/index.html)
01:33:54	1370/1370	---MCZ	200	added ('OK')	text/css	etag:W/%225c0bd799-89e%22	https://colorlib.com/preview/theme/karma/css/ion.rangeSlider.skinFlat.css	C:/My%20Web%20Sites/ClientWork/Braun%20Fit/colorlib.com/preview/theme/karma/css/ion.rangeSlider.skinFlat.css	(from https://colorlib.com/preview/theme/karma/index.html)
01:33:54	5236/5236	---MCZ	200	added ('OK')	text/css	etag:W/%225c0bd79c-1b27%22	https://colorlib.com/preview/theme/karma/css/magnific-popup.css	C:/My%20Web%20Sites/ClientWork/Braun%20Fit/colorlib.com/preview/theme/karma/css/magnific-popup.css	(from https://colorlib.com/preview/theme/karma/index.html)
01:33:55	124406/124406	---MCZ	200	added ('OK')	text/css	etag:W/%225c0bd7a1-29341%22	https://colorlib.com/preview/theme/karma/css/main.css	C:/My%20Web%20Sites/ClientWork/Braun%20Fit/colorlib.com/preview/theme/karma/css/main.css	(from https://colorlib.com/preview/theme/karma/index.html)
01:33:55	2293/2293	---M--	200	added ('OK')	image/png	etag:%225c0bd7e9-cef%22	https://colorlib.com/preview/theme/karma/img/logo.png	C:/My%20Web%20Sites/ClientWork/Braun%20Fit/colorlib.com/preview/theme/karma/img/logo.png	(from https://colorlib.com/preview/theme/karma/index.html)
01:33:55	31350/31350	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Dec%202018%2014:39:00%20GMT	https://colorlib.com/preview/theme/karma/category.html	C:/My%20Web%20Sites/ClientWork/Braun%20Fit/colorlib.com/preview/theme/karma/category.html	(from https://colorlib.com/preview/theme/karma/index.html)
01:33:56	25279/25279	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Dec%202018%2014:39:07%20GMT	https://colorlib.com/preview/theme/karma/single-product.html	C:/My%20Web%20Sites/ClientWork/Braun%20Fit/colorlib.com/preview/theme/karma/single-product.html	(from https://colorlib.com/preview/theme/karma/index.html)
01:33:56	14218/14218	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Dec%202018%2014:39:00%20GMT	https://colorlib.com/preview/theme/karma/checkout.html	C:/My%20Web%20Sites/ClientWork/Braun%20Fit/colorlib.com/preview/theme/karma/checkout.html	(from https://colorlib.com/preview/theme/karma/index.html)
01:33:56	13637/13637	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Dec%202018%2014:38:59%20GMT	https://colorlib.com/preview/theme/karma/cart.html	C:/My%20Web%20Sites/ClientWork/Braun%20Fit/colorlib.com/preview/theme/karma/cart.html	(from https://colorlib.com/preview/theme/karma/index.html)
01:33:57	10760/10760	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Dec%202018%2014:39:02%20GMT	https://colorlib.com/preview/theme/karma/confirmation.html	C:/My%20Web%20Sites/ClientWork/Braun%20Fit/colorlib.com/preview/theme/karma/confirmation.html	(from https://colorlib.com/preview/theme/karma/index.html)
01:33:57	20565/20565	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Dec%202018%2014:38:58%20GMT	https://colorlib.com/preview/theme/karma/blog.html	C:/My%20Web%20Sites/ClientWork/Braun%20Fit/colorlib.com/preview/theme/karma/blog.html	(from https://colorlib.com/preview/theme/karma/index.html)
01:33:57	21558/21558	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Dec%202018%2014:39:06%20GMT	https://colorlib.com/preview/theme/karma/single-blog.html	C:/My%20Web%20Sites/ClientWork/Braun%20Fit/colorlib.com/preview/theme/karma/single-blog.html	(from https://colorlib.com/preview/theme/karma/index.html)
01:33:58	10364/10364	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Dec%202018%2014:39:04%20GMT	https://colorlib.com/preview/theme/karma/login.html	C:/My%20Web%20Sites/ClientWork/Braun%20Fit/colorlib.com/preview/theme/karma/login.html	(from https://colorlib.com/preview/theme/karma/index.html)
01:33:58	9926/9926	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Dec%202018%2014:39:07%20GMT	https://colorlib.com/preview/theme/karma/tracking.html	C:/My%20Web%20Sites/ClientWork/Braun%20Fit/colorlib.com/preview/theme/karma/tracking.html	(from https://colorlib.com/preview/theme/karma/index.html)
01:33:59	33175/33175	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Dec%202018%2014:39:03%20GMT	https://colorlib.com/preview/theme/karma/elements.html	C:/My%20Web%20Sites/ClientWork/Braun%20Fit/colorlib.com/preview/theme/karma/elements.html	(from https://colorlib.com/preview/theme/karma/index.html)
01:33:59	12111/12111	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Dec%202018%2014:39:02%20GMT	https://colorlib.com/preview/theme/karma/contact.html	C:/My%20Web%20Sites/ClientWork/Braun%20Fit/colorlib.com/preview/theme/karma/contact.html	(from https://colorlib.com/preview/theme/karma/index.html)
01:33:59	352877/352877	---M--	200	added ('OK')	image/png	etag:%225c0bd82a-5730b%22	https://colorlib.com/preview/theme/karma/img/banner/banner-img.png	C:/My%20Web%20Sites/ClientWork/Braun%20Fit/colorlib.com/preview/theme/karma/img/banner/banner-img.png	(from https://colorlib.com/preview/theme/karma/index.html)
01:33:59	388/388	---M--	200	added ('OK')	image/png	etag:%225c0bd878-1a6%22	https://colorlib.com/preview/theme/karma/img/features/f-icon1.png	C:/My%20Web%20Sites/ClientWork/Braun%20Fit/colorlib.com/preview/theme/karma/img/features/f-icon1.png	(from https://colorlib.com/preview/theme/karma/index.html)
01:33:59	434/434	---M--	200	added ('OK')	image/png	etag:%225c0bd878-1da%22	https://colorlib.com/preview/theme/karma/img/features/f-icon2.png	C:/My%20Web%20Sites/ClientWork/Braun%20Fit/colorlib.com/preview/theme/karma/img/features/f-icon2.png	(from https://colorlib.com/preview/theme/karma/index.html)
01:33:59	438/438	---M--	200	added ('OK')	image/png	etag:%225c0bd879-1d8%22	https://colorlib.com/preview/theme/karma/img/features/f-icon3.png	C:/My%20Web%20Sites/ClientWork/Braun%20Fit/colorlib.com/preview/theme/karma/img/features/f-icon3.png	(from https://colorlib.com/preview/theme/karma/index.html)
01:34:00	504/504	---M--	200	added ('OK')	image/png	etag:%225c0bd879-220%22	https://colorlib.com/preview/theme/karma/img/features/f-icon4.png	C:/My%20Web%20Sites/ClientWork/Braun%20Fit/colorlib.com/preview/theme/karma/img/features/f-icon4.png	(from https://colorlib.com/preview/theme/karma/index.html)
01:34:00	20265/20265	---M--	200	added ('OK')	image/jpeg	etag:%225c0bd84f-17dfb%22	https://colorlib.com/preview/theme/karma/img/category/c1.jpg	C:/My%20Web%20Sites/ClientWork/Braun%20Fit/colorlib.com/preview/theme/karma/img/category/c1.jpg	(from https://colorlib.com/preview/theme/karma/index.html)
01:34:00	13093/13093	---M--	200	added ('OK')	image/jpeg	etag:%225c0bd849-c31d%22	https://colorlib.com/preview/theme/karma/img/category/c2.jpg	C:/My%20Web%20Sites/ClientWork/Braun%20Fit/colorlib.com/preview/theme/karma/img/category/c2.jpg	(from https://colorlib.com/preview/theme/karma/index.html)
01:34:00	15645/15645	---M--	200	added ('OK')	image/jpeg	etag:%225c0bd84b-d0e1%22	https://colorlib.com/preview/theme/karma/img/category/c3.jpg	C:/My%20Web%20Sites/ClientWork/Braun%20Fit/colorlib.com/preview/theme/karma/img/category/c3.jpg	(from https://colorlib.com/preview/theme/karma/index.html)
01:34:01	17197/17197	---M--	200	added ('OK')	image/jpeg	etag:%225c0bd84f-1413c%22	https://colorlib.com/preview/theme/karma/img/category/c4.jpg	C:/My%20Web%20Sites/ClientWork/Braun%20Fit/colorlib.com/preview/theme/karma/img/category/c4.jpg	(from https://colorlib.com/preview/theme/karma/index.html)
01:34:01	20480/20480	---M--	200	added ('OK')	image/jpeg	etag:%225c0bd852-19842%22	https://colorlib.com/preview/theme/karma/img/category/c5.jpg	C:/My%20Web%20Sites/ClientWork/Braun%20Fit/colorlib.com/preview/theme/karma/img/category/c5.jpg	(from https://colorlib.com/preview/theme/karma/index.html)
01:34:01	6572/6572	---M--	200	added ('OK')	image/jpeg	etag:%225c0bd8c5-50ed%22	https://colorlib.com/preview/theme/karma/img/product/p1.jpg	C:/My%20Web%20Sites/ClientWork/Braun%20Fit/colorlib.com/preview/theme/karma/img/product/p1.jpg	(from https://colorlib.com/preview/theme/karma/index.html)
01:34:01	41256/41256	---M--	200	added ('OK')	image/jpeg	etag:%225c0bd8c8-a7f1%22	https://colorlib.com/preview/theme/karma/img/product/p2.jpg	C:/My%20Web%20Sites/ClientWork/Braun%20Fit/colorlib.com/preview/theme/karma/img/product/p2.jpg	(from https://colorlib.com/preview/theme/karma/index.html)
01:34:01	6960/6960	---M--	200	added ('OK')	image/jpeg	etag:%225c0bd8c9-54b7%22	https://colorlib.com/preview/theme/karma/img/product/p3.jpg	C:/My%20Web%20Sites/ClientWork/Braun%20Fit/colorlib.com/preview/theme/karma/img/product/p3.jpg	(from https://colorlib.com/preview/theme/karma/index.html)
01:34:02	8616/8616	---M--	200	added ('OK')	image/jpeg	etag:%225c0bd8ca-8030%22	https://colorlib.com/preview/theme/karma/img/product/p4.jpg	C:/My%20Web%20Sites/ClientWork/Braun%20Fit/colorlib.com/preview/theme/karma/img/product/p4.jpg	(from https://colorlib.com/preview/theme/karma/index.html)
01:34:02	7188/7188	---M--	200	added ('OK')	image/jpeg	etag:%225c0bd8ca-5c9d%22	https://colorlib.com/preview/theme/karma/img/product/p5.jpg	C:/My%20Web%20Sites/ClientWork/Braun%20Fit/colorlib.com/preview/theme/karma/img/product/p5.jpg	(from https://colorlib.com/preview/theme/karma/index.html)
01:34:02	9722/9722	---M--	200	added ('OK')	image/jpeg	etag:%225c0bd8cc-8f24%22	https://colorlib.com/preview/theme/karma/img/product/p6.jpg	C:/My%20Web%20Sites/ClientWork/Braun%20Fit/colorlib.com/preview/theme/karma/img/product/p6.jpg	(from https://colorlib.com/preview/theme/karma/index.html)
01:34:02	9020/9020	---M--	200	added ('OK')	image/jpeg	etag:%225c0bd8cc-7148%22	https://colorlib.com/preview/theme/karma/img/product/p7.jpg	C:/My%20Web%20Sites/ClientWork/Braun%20Fit/colorlib.com/preview/theme/karma/img/product/p7.jpg	(from https://colorlib.com/preview/theme/karma/index.html)
